@RELATION emotionExtraTrees
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {../Emotion Audio/01_Neatral,../Emotion Audio/02_Calm,../Emotion Audio/03_Happy,../Emotion Audio/04_sad,../Emotion Audio/05_angry,../Emotion Audio/06_Fear,../Emotion Audio/07_disgust,../Emotion Audio/08_surprised}

@DATA
0.069230,0.011357,2.830606,0.259501,0.232390,1.083683,0.019010,0.273736,-33.383995,1.732336,0.128234,0.101694,-0.110716,-0.063631,0.037974,-0.045889,-0.093631,-0.142268,-0.197917,-0.085396,-0.256696,0.020005,0.003426,0.041384,0.017688,0.013209,0.007299,0.029099,0.001752,0.003153,0.018253,0.024309,0.008019,0.024297,0.049363,0.011809,0.444420,0.088549,0.051904,0.608302,0.028425,0.162732,2.902047,0.661247,0.520427,0.453006,0.322570,0.226569,0.263033,0.214273,0.205123,0.217902,0.220798,0.191166,0.253303,0.025265,0.005743,0.043175,0.022458,0.016085,0.007568,0.023039,0.002438,0.003541,0.019387,0.022150,0.013168,0.012804,../Emotion Audio/01_Neatral
0.050551,0.005249,2.247499,0.325420,0.265069,1.216330,0.006563,0.251434,-36.469152,1.534527,0.249460,0.189767,-0.005643,0.185095,0.151386,0.061008,0.060031,-0.007625,-0.042108,-0.006189,-0.028862,0.011095,0.003921,0.043447,0.005101,0.007635,0.009167,0.101851,0.001598,0.003049,0.005219,0.012092,0.004863,0.034492,0.045607,0.008851,0.359136,0.081779,0.036509,0.784692,0.005489,0.217063,3.152719,0.723263,0.579325,0.274681,0.302296,0.199195,0.235372,0.162700,0.199691,0.151958,0.177163,0.155303,0.175110,0.011308,0.008118,0.038042,0.003759,0.007239,0.011070,0.072360,0.002229,0.003607,0.005124,0.011713,0.006381,0.020803,../Emotion Audio/01_Neatral
0.052325,0.009517,2.929080,0.247141,0.204004,1.420671,0.045307,0.322295,-36.054492,1.320513,-0.044183,-0.110640,-0.042047,-0.060517,-0.059916,-0.162468,-0.103345,-0.091985,-0.017781,-0.006947,-0.040502,0.008645,0.002741,0.008608,0.007838,0.007134,0.007609,0.055281,0.001438,0.007000,0.013150,0.019453,0.004026,0.022087,0.040364,0.011049,0.423145,0.104583,0.046404,0.702760,0.073763,0.178291,3.326696,0.615919,0.438537,0.388295,0.224384,0.247803,0.237491,0.221274,0.206481,0.213797,0.178790,0.212603,0.193002,0.009783,0.004433,0.009051,0.010441,0.007449,0.011028,0.034598,0.001614,0.011006,0.015924,0.022294,0.007184,0.010287,../Emotion Audio/01_Neatral
0.059319,0.004845,2.770216,0.269411,0.256358,0.802612,0.006392,0.093446,-35.417902,1.678509,0.298861,0.155781,-0.136371,0.023941,0.033324,0.115442,0.038720,0.133520,0.065884,0.002607,-0.007045,0.006184,0.003482,0.063244,0.006142,0.008566,0.007554,0.137741,0.001470,0.003813,0.009760,0.011476,0.003590,0.045143,0.031953,0.005968,0.242518,0.056024,0.031390,0.464422,0.003462,0.087882,2.523048,0.575920,0.543210,0.403309,0.392978,0.217267,0.272576,0.274856,0.216358,0.196260,0.189766,0.161816,0.160540,0.005532,0.005289,0.053479,0.006747,0.010767,0.011337,0.064281,0.002918,0.004016,0.009182,0.010110,0.004738,0.016996,../Emotion Audio/01_Neatral
0.058527,0.010686,2.867131,0.210468,0.185237,1.034992,0.015194,0.245488,-34.974655,1.717294,0.002662,-0.041110,-0.084656,0.053567,-0.067385,0.010015,-0.051372,-0.038705,-0.064737,-0.104590,-0.119345,0.012788,0.007440,0.017093,0.008669,0.011517,0.005148,0.044785,0.003121,0.005022,0.019937,0.019377,0.005176,0.021620,0.050914,0.012694,0.488237,0.110043,0.049926,0.646000,0.036577,0.162167,2.888302,0.665075,0.603776,0.453177,0.337930,0.264209,0.197376,0.233053,0.203583,0.192691,0.185725,0.188358,0.172250,0.016957,0.013265,0.014827,0.009293,0.010350,0.004852,0.032439,0.005797,0.005461,0.018899,0.021630,0.008207,0.012044,../Emotion Audio/01_Neatral
0.047903,0.005977,2.714218,0.220279,0.250247,0.317413,0.009257,0.035797,-33.696097,2.257854,0.344999,0.376569,-0.084673,0.143319,0.218934,0.067542,0.103241,0.022941,0.103119,0.047322,0.034808,0.014983,0.003290,0.069202,0.005766,0.013512,0.009754,0.130933,0.001841,0.003437,0.004262,0.020686,0.005184,0.047276,0.034991,0.008436,0.372146,0.050380,0.032290,0.296921,0.006645,0.046368,2.396340,0.632607,0.557359,0.384284,0.435333,0.231044,0.242377,0.204582,0.207543,0.191421,0.194963,0.168556,0.138060,0.019389,0.006054,0.052522,0.007111,0.011628,0.013933,0.058969,0.004120,0.005523,0.004854,0.021362,0.008960,0.015720,../Emotion Audio/01_Neatral
0.028500,0.021085,2.850958,0.299550,0.238000,1.023944,0.059945,0.173262,-35.688694,1.451119,0.133056,-0.013293,-0.111143,0.056506,0.101941,-0.113180,0.036057,-0.038757,-0.027372,0.000163,-0.121925,0.008980,0.000802,0.006055,0.003616,0.004562,0.001709,0.061331,0.000486,0.003275,0.022299,0.031779,0.002556,0.026434,0.036931,0.019781,0.457252,0.124628,0.068640,0.769312,0.130482,0.238760,4.035472,0.662312,0.482928,0.422910,0.291790,0.227940,0.240474,0.256457,0.212172,0.174430,0.155558,0.145705,0.148070,0.010453,0.000906,0.007108,0.003471,0.005916,0.001923,0.031920,0.000401,0.003708,0.014442,0.017911,0.004679,0.010844,../Emotion Audio/01_Neatral
0.049793,0.011858,2.650724,0.267895,0.257318,0.702267,0.006587,0.173509,-33.470449,2.029070,0.195712,0.202534,-0.064035,0.042400,0.222419,0.078639,0.111694,0.055420,0.032711,-0.073586,0.082271,0.006885,0.002452,0.086865,0.015414,0.011682,0.010478,0.122157,0.000913,0.004103,0.006620,0.016212,0.005003,0.047308,0.034711,0.010957,0.333134,0.077275,0.035374,0.597149,0.005017,0.195164,2.885397,0.747620,0.597719,0.325156,0.380860,0.276077,0.229553,0.260419,0.228590,0.156783,0.163300,0.175736,0.138183,0.007794,0.003568,0.058492,0.018342,0.009160,0.012717,0.066034,0.001793,0.007992,0.007514,0.014375,0.008757,0.019136,../Emotion Audio/01_Neatral
0.045978,0.013946,2.881393,0.232414,0.188681,1.417349,0.012990,0.325187,-35.930180,1.055811,-0.069010,-0.114288,-0.092716,0.023030,-0.009320,-0.168590,-0.063884,-0.161368,-0.067493,-0.072181,-0.036694,0.010098,0.002530,0.017213,0.012116,0.010697,0.010087,0.044584,0.002195,0.004205,0.006004,0.012174,0.005341,0.020783,0.037626,0.014640,0.415585,0.111688,0.046948,0.698482,0.041136,0.202312,2.994882,0.533125,0.485542,0.435778,0.240101,0.229116,0.214331,0.195562,0.199638,0.181036,0.187419,0.178516,0.270328,0.012249,0.003097,0.017011,0.017381,0.012180,0.012586,0.020256,0.002717,0.004989,0.005297,0.011634,0.007156,0.010458,../Emotion Audio/01_Neatral
0.063150,0.007039,2.663476,0.259218,0.245551,0.923578,0.005153,0.080354,-34.649987,2.072428,0.242216,0.069571,-0.068091,0.032341,0.153622,0.076914,0.099090,-0.003151,0.034433,0.028960,-0.086655,0.015618,0.006524,0.063830,0.009252,0.014238,0.006058,0.045801,0.001835,0.008775,0.012566,0.031394,0.010380,0.026934,0.032289,0.010025,0.305485,0.055320,0.028892,0.405596,0.003356,0.079758,2.388603,0.596650,0.652555,0.391657,0.427565,0.327101,0.210140,0.277931,0.276911,0.228370,0.178473,0.165193,0.178094,0.015477,0.010382,0.044656,0.010819,0.012066,0.004675,0.029105,0.002467,0.011047,0.013123,0.020993,0.015472,0.012678,../Emotion Audio/01_Neatral
0.045519,0.006599,2.420308,0.329247,0.255059,1.459160,0.003984,0.229351,-36.500338,1.329629,0.397456,0.134744,-0.086342,0.034932,0.252348,0.082275,-0.003894,0.058983,-0.027953,0.024611,-0.017894,0.008848,0.004664,0.031297,0.009645,0.016155,0.009046,0.046103,0.001399,0.004959,0.006012,0.014969,0.004375,0.018672,0.035720,0.007390,0.379301,0.073723,0.034251,0.590216,0.003120,0.185139,3.167157,0.692397,0.496914,0.322129,0.353744,0.284104,0.295237,0.250696,0.247975,0.166683,0.177147,0.141457,0.175095,0.009486,0.006993,0.022796,0.012765,0.012403,0.008209,0.027212,0.001449,0.005098,0.006313,0.014962,0.006941,0.008378,../Emotion Audio/01_Neatral
0.062470,0.008287,2.535699,0.263558,0.220408,1.050259,0.009248,0.229615,-35.358948,1.305185,-0.070173,0.011246,-0.076472,-0.007512,-0.041143,-0.052812,0.007817,-0.076891,-0.035198,-0.105947,-0.098239,0.012783,0.002840,0.033551,0.010639,0.010301,0.006075,0.038176,0.003287,0.006843,0.007649,0.021692,0.009276,0.020864,0.044103,0.010451,0.455163,0.106556,0.055851,0.726692,0.013601,0.170855,3.074464,0.591026,0.531549,0.514691,0.262422,0.256323,0.310478,0.246789,0.242744,0.240524,0.208389,0.238961,0.252283,0.015907,0.002445,0.031806,0.013195,0.009017,0.006730,0.041979,0.004697,0.011614,0.007025,0.019099,0.016776,0.014079,../Emotion Audio/01_Neatral
0.079841,0.008474,2.860739,0.240832,0.239971,0.671116,0.006134,0.144063,-32.878324,1.891709,0.281073,0.083446,-0.172149,0.259878,0.028142,0.126937,-0.000939,0.006069,-0.033116,-0.074406,0.016970,0.008651,0.004274,0.106705,0.008391,0.014017,0.010531,0.068665,0.002113,0.003823,0.016173,0.023349,0.004476,0.043720,0.060402,0.010222,0.338883,0.056759,0.031877,0.508169,0.003447,0.129293,2.614764,0.531432,0.649338,0.425820,0.411078,0.288115,0.248467,0.219685,0.213832,0.184708,0.176461,0.214740,0.205301,0.010297,0.006216,0.068629,0.008923,0.010725,0.014223,0.063759,0.002903,0.004898,0.014465,0.018840,0.005141,0.024068,../Emotion Audio/01_Neatral
0.054419,0.008764,2.648574,0.229470,0.199144,1.247842,0.004806,0.283504,-36.087951,1.277803,-0.137547,-0.124437,-0.193188,-0.070420,-0.019877,-0.214393,-0.057713,-0.148365,-0.033640,-0.129800,-0.112413,0.009414,0.003505,0.015759,0.015422,0.010908,0.006676,0.036598,0.002558,0.012003,0.010609,0.014117,0.003979,0.019332,0.037286,0.008889,0.370828,0.100418,0.057350,0.737085,0.005141,0.172877,3.437656,0.620087,0.417036,0.482786,0.329195,0.268438,0.330732,0.213236,0.187500,0.227426,0.277386,0.197636,0.187034,0.010333,0.005093,0.015261,0.016971,0.015167,0.009077,0.025558,0.003540,0.017828,0.008244,0.012804,0.004588,0.011165,../Emotion Audio/01_Neatral
0.055719,0.003125,2.693645,0.277848,0.251451,0.800296,0.005619,0.181608,-34.386899,1.507516,0.274450,0.264063,-0.148748,0.205434,0.151230,-0.028505,0.131360,0.077252,-0.062102,0.066719,-0.102628,0.007017,0.003253,0.044963,0.006281,0.010151,0.004021,0.098845,0.002850,0.003968,0.007432,0.026479,0.004375,0.035104,0.043447,0.004793,0.382612,0.063194,0.033363,0.641685,0.003702,0.197650,2.671461,0.633575,0.640829,0.455044,0.382340,0.257572,0.282137,0.250188,0.206942,0.163177,0.189485,0.157424,0.150860,0.008007,0.004738,0.033605,0.005350,0.008267,0.003502,0.046601,0.004330,0.004996,0.007330,0.025881,0.004222,0.013421,../Emotion Audio/01_Neatral
0.071900,0.010679,2.981147,0.253391,0.229416,1.252916,0.010505,0.296149,-32.719155,0.991816,0.002404,-0.041622,-0.013449,0.216813,-0.138516,-0.168165,-0.178446,-0.218500,-0.216719,-0.146552,-0.208754,0.010587,0.002948,0.024678,0.023071,0.010031,0.010706,0.035503,0.002710,0.004994,0.011784,0.016898,0.005423,0.021950,0.044963,0.012726,0.290550,0.080623,0.044783,0.644160,0.020741,0.154659,3.040737,0.751552,0.659907,0.506051,0.247954,0.302838,0.253499,0.236369,0.253415,0.177361,0.237510,0.278234,0.206099,0.012466,0.003838,0.028038,0.024136,0.013292,0.017557,0.040232,0.003225,0.006574,0.010728,0.015866,0.005921,0.016686,../Emotion Audio/01_Neatral
0.075042,0.007988,2.949407,0.231121,0.232366,0.809640,0.006861,0.158849,-31.964654,1.987798,0.186743,0.095608,-0.175433,0.348699,0.003100,0.209717,0.001960,0.059379,-0.033957,-0.025577,0.059857,0.007233,0.004844,0.064990,0.012874,0.017718,0.007352,0.054307,0.001319,0.007806,0.012165,0.024302,0.002831,0.029347,0.046926,0.009628,0.247910,0.046762,0.024654,0.456752,0.004173,0.101533,1.853832,0.644813,0.564322,0.459089,0.419679,0.308894,0.216393,0.236545,0.246127,0.231629,0.214877,0.177331,0.175269,0.008557,0.007523,0.040474,0.013246,0.016862,0.008739,0.038063,0.001685,0.010673,0.011667,0.022808,0.003660,0.012183,../Emotion Audio/01_Neatral
0.053526,0.014195,2.689724,0.237133,0.254754,0.408802,0.010644,0.069451,-31.887904,2.186150,0.130957,0.146154,-0.064555,0.031509,0.040719,-0.100192,0.045397,-0.001877,0.001427,-0.119029,-0.140283,0.013357,0.002749,0.080116,0.015338,0.006977,0.003737,0.107679,0.000735,0.003956,0.010001,0.019598,0.004887,0.046463,0.038835,0.014838,0.409352,0.066216,0.036419,0.437645,0.008853,0.100470,2.426299,0.618207,0.523607,0.428948,0.313438,0.248651,0.263633,0.241079,0.241947,0.247273,0.220480,0.181331,0.184162,0.019599,0.004753,0.066547,0.016957,0.008150,0.003762,0.066059,0.000913,0.005365,0.010089,0.022026,0.007429,0.018608,../Emotion Audio/01_Neatral
0.052642,0.007039,2.633828,0.291020,0.263230,1.128080,0.004518,0.308948,-33.059018,1.824817,0.289823,0.256298,0.052085,0.285941,0.040151,0.197256,0.054762,0.038471,0.137953,0.037454,0.101561,0.007511,0.002928,0.050479,0.007373,0.010715,0.005232,0.058580,0.001101,0.003027,0.008084,0.066181,0.006488,0.030134,0.031256,0.006372,0.307111,0.066805,0.029447,0.559680,0.003009,0.193911,2.106719,0.650454,0.463143,0.286012,0.294325,0.218625,0.269925,0.191590,0.183395,0.192044,0.151063,0.153610,0.153896,0.006525,0.004151,0.033604,0.007019,0.007581,0.005216,0.030955,0.001036,0.003680,0.006547,0.035290,0.012857,0.012044,../Emotion Audio/01_Neatral
0.110329,0.011278,2.971145,0.215997,0.224787,0.873570,0.007190,0.158339,-31.760985,1.704996,-0.145054,-0.236890,-0.233868,0.208693,0.017760,-0.003405,0.067933,-0.037299,-0.139199,-0.246921,-0.068759,0.017648,0.005080,0.047264,0.016168,0.006960,0.009650,0.025668,0.002025,0.006099,0.013093,0.024892,0.013972,0.024007,0.049868,0.013147,0.471893,0.060128,0.022186,0.455563,0.004659,0.108897,1.849435,0.711491,0.703620,0.454897,0.352254,0.313516,0.259949,0.243542,0.273961,0.211065,0.228686,0.252737,0.269129,0.018058,0.006835,0.045462,0.014938,0.006515,0.017712,0.019160,0.002029,0.006973,0.014059,0.025093,0.016024,0.014292,../Emotion Audio/01_Neatral
